id	uri	name_translit	name_arabic	alias_names	birth_year	death_year	floruit_years	description
2988	https://ismi.mpiwg-berlin.mpg.de/person/2988	Abū al-Ḥasan Nūr al-Dīn ʿAlī ibn ʿAbd al-Qādir ibn Muḥammad al-Qarāfī al-Qāhirī al-Naqqāš	أبو الحسن نور الدين علي بن عبد القادر بن محمّد القرافي القاهري النقّاش	ʿAlī al-Qarāfī al-Naqqāsh		1475		TEXT[330238] was_created_by, TEXT[529995] was_created_by, TEXT[530015] was_created_by, TEXT[330227] was_created_by, TEXT[330277] was_created_by, PLACE[85226] lived_in, PLACE[85226] was_born_in
3061	https://ismi.mpiwg-berlin.mpg.de/person/3061	ʿAbd al-Raḥmān ibn ʿAlī ibn Muḥammad al-Aqfahsī al-Ṣūfī	عبد الرحمن بن علي بن محمّد الأقفهسي الصوفي	عبد الرحمن بن علي بن محمد الاقفهسي الصوفي, ʿAbd al-Raḥmān al-Aqfahsī, Aqfahsī				PERSON[856] was_student_of, TEXT[88077] was_created_by
3226	https://ismi.mpiwg-berlin.mpg.de/person/3226	Abū al-Faḍl Zayn al-Millaẗ wa-al-Dīn al-Qāsim ibn ʿAbd Allāh ibn Quṭlūbuġā al-Ḥanafī al-Sūdūnī	أبو الفضل زين الملّة والدين القاسم بن عبد الله‎ بن قطلوبغا الحنفي السودوني	Zayn al-Dīn ibn Quṭlūbughā	1399	1474		TEXT[330127] was_created_by, PLACE[85226] lived_in, PLACE[85226] died_in, PLACE[85226] was_born_in
3284	https://ismi.mpiwg-berlin.mpg.de/person/3284	Al-Ḥasan ibn Ḫalīl ibn ʿAlī al-Karādīsī al-Ṭubnī	الحسن بن خليل بن علي الكراديسي الطبني	Ḥasan al-Karādīsī al-Ṭubnī	1420	1482		TEXT[333991] was_created_by, TEXT[333908] was_created_by, TEXT[333919] was_created_by, TEXT[333952] was_created_by, TEXT[333974] was_created_by, TEXT[333930] was_created_by, TEXT[333897] was_created_by, TEXT[333963] was_created_by, TEXT[333941] was_created_by, PLACE[85226] lived_in, PLACE[173275] lived_in, PLACE[173275] was_born_in
3321	https://ismi.mpiwg-berlin.mpg.de/person/3321	Ibrāhīm ibn ʿUmar ibn al-Ḥasan al-Ribāṭ al-Biqāʿī al-Šāfiʿī	إبراحيم بن عمر بن الحسن الرباط البقاعي الشافعي	Ibrāhīm al-Biqāʿī		1480		PLACE[173189] lived_in, PLACE[173189] was_born_in, TEXT[333192] was_created_by, TEXT[333174] was_created_by
3360	https://ismi.mpiwg-berlin.mpg.de/person/3360	Ḥusām al-Dīn al-Ḥasan ibn Muḥammad al-Sīwāsī	حسام الدين الحسن بن محمد السيواسي	Ḥasan al-Sīwāsī			1250	TEXT[122359] was_dedicated_to
3527	https://ismi.mpiwg-berlin.mpg.de/person/3527	Jamāl al-Dīn Muḥammad ibn ʿUmar Baḫrak	جمال الدين محمّد بن عمر بخرك	Muḥammad Bakhrak		1440		TEXT[330821] was_created_by, TEXT[330808] was_created_by, TEXT[330797] was_created_by, PLACE[174638] lived_in, PLACE[174638] died_in
3617	https://ismi.mpiwg-berlin.mpg.de/person/3617	Saʿīd ibn Sulaymān al-Samlālī Akrūmī	سعيد بن سليمان السملالي أكرومي	Saʿīd al-Samlālī		1477		TEXT[330853] was_created_by
3771	https://ismi.mpiwg-berlin.mpg.de/person/3771	Abū al-Ḥasan ʿAlī ibn Muḥammad ibn Muḥammad ibn ʿAlī al-Qurašī al-Basṭī al-Qalaṣādī	أبو الحسن علي بن محمّد بن محمّد بن علي القرشي البسطي القلصادي	علي بن محمد بن محمد بن علي القرشي الشهير بالقلصادي, ʿAlī al-Qalaṣādī, Ḳalṣādī, al-Qalaṣādī		1486		TEXT[532119] was_created_by, TEXT[337405] was_created_by, TEXT[338367] was_created_by, TEXT[338354] was_created_by, TEXT[338653] was_created_by, TEXT[532258] was_created_by, TEXT[338604] was_created_by, TEXT[532153] was_created_by, TEXT[337459] was_created_by, TEXT[338664] was_created_by, TEXT[338698] was_created_by, TEXT[336921] was_created_by, TEXT[337224] was_created_by, TEXT[336889] was_created_by, TEXT[338551] was_created_by, TEXT[338473] was_created_by, TEXT[337895] was_created_by, TEXT[338675] was_created_by, TEXT[338687] was_created_by, PLACE[321561] lived_in, PLACE[86632] lived_in, PLACE[86632] died_in, PLACE[88223] was_born_in, PERSON[94618] was_student_of
3863	https://ismi.mpiwg-berlin.mpg.de/person/3863	Sinān al-Dīn Yūsuf ibn Ḫiḍr Beg ibn Jalāl al-Dīn	سنان الدين يوسف بن خضر بیك بن جلال الدين	خوجه پاشا, Sinān Pashā, Sinan Paşa, Khwāja Pāshā		1486		PLACE[85148] lived_in, PLACE[85246] lived_in, PLACE[85627] was_born_in, TEXT[524438] was_created_by, TEXT[334688] was_created_by, TEXT[530844] was_created_by, PERSON[23358] was_student_of, PERSON[528222] was_student_of, TEXT[334802] was_created_by, TEXT[199489] was_created_by
4031	https://ismi.mpiwg-berlin.mpg.de/person/4031	Sīdī Ḥasan ibn Sīdī ʿAlī al-Qumanātī al-Sīwāsī	سيدي حسن بن سيدي علي القمناتي السيواسي	"Sīdī Ḥasan al-Qumanātī al-Sīwāsī	, Sayyid Ḥasan ibn Sayyid ʿAlī al-Qumanātī al-Sīwāsī, Al-Komanati"				PLACE[85537] lived_in, PLACE[85246] lived_in, PLACE[443439] was_born_in, TEXT[335621] was_created_by
4318	https://ismi.mpiwg-berlin.mpg.de/person/4318	Muḥammad ibn ʿUmar ibn Muḥammad ibn ʿAẓam al-Tūnisī al-Tamimī	محمّد بن عمر بن محمّد بن عظم التونسي التممي	Muḥammad al-Tamimī		1486		TEXT[338836] was_created_by, PLACE[86632] was_born_in
4502	https://ismi.mpiwg-berlin.mpg.de/person/4502	Muḥammad b. Ḥasan al-Ṣamṣūnī		Muhammad b. Hasan al-Samsuni				TEXT[69911] was_created_by
