id	title	variants	types	aat_types	title_source	title_uri	parent_name	parent_id	start	attestation_year	description
44343	Ann Arbor	Ann Arbor, MI	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/44343	http://ismi.mpiwg-berlin.mpg.de/place/44343	USA	#173554	0800	2006	"[""REPOSITORY[44324] is_in""]"
44417	Philadelphia	Philadelphia, PA	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/44417	http://ismi.mpiwg-berlin.mpg.de/place/44417	USA	#173554	0800	2006	"[""REPOSITORY[44034] is_in"", ""REPOSITORY[89135] is_in""]"
49174	İzmir		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/49174	http://ismi.mpiwg-berlin.mpg.de/place/49174	Turkey	#174510	0800	2006	"[""REPOSITORY[49127] is_in"", ""REPOSITORY[441290] is_in"", ""REPOSITORY[440976] is_in"", ""PLACE[447960] is_part_of""]"
69524	Mocha		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/69524	http://ismi.mpiwg-berlin.mpg.de/place/69524	Yemen	#178900	0800	2006	"[""WITNESS[59056] was_copied_in"", ""WITNESS[68223] was_copied_in""]"
71934	Heraklion	Heraklion (Iraklion, Candia, Qandiya; in Crete)	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/71934	http://ismi.mpiwg-berlin.mpg.de/place/71934	Greece	#71938	0800	2006	"[""WITNESS[78260] was_copied_in""]"
71938	Greece		country	300387506	http://ismi.mpiwg-berlin.mpg.de/place/71938	http://ismi.mpiwg-berlin.mpg.de/place/71938			0800	2006	"[""PLACE[71934] is_part_of""]"
74460	Stockholm		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/74460	http://ismi.mpiwg-berlin.mpg.de/place/74460			0800	2006	"[""REPOSITORY[60377] is_in""]"
85148	Istanbul		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/85148	http://ismi.mpiwg-berlin.mpg.de/place/85148	Turkey	#174510	0800	2006	"[""PERSON[209245] lived_in"", ""PERSON[13305] lived_in"", ""PERSON[388352] lived_in"", ""PERSON[448389] lived_in"", ""PERSON[12547] lived_in"", ""PERSON[3863] lived_in"", ""PERSON[14116] lived_in"", ""PERSON[449387] lived_in"", ""PERSON[313442] lived_in"", ""PERSON[348855] lived_in"", ""PERSON[350832] lived_in"", ""PERSON[341972] lived_in"", ""PERSON[13385] lived_in"", ""PERSON[497194] lived_in"", ""PERSON[449334] lived_in"", ""PERSON[458390] lived_in"", ""PERSON[20598] lived_in"", ""PERSON[23358] lived_in"", ""PERSON[528222] lived_in"", ""PERSON[517534] lived_in"", ""PERSON[517569] lived_in"", ""PERSON[456297] lived_in"", ""PERSON[42295] lived_in"", ""PERSON[532444] lived_in"", ""PERSON[203739] lived_in"", ""PERSON[14248] lived_in"", ""PERSON[493691] lived_in"", ""PERSON[197196] lived_in"", ""PERSON[333210] lived_in"", ""PERSON[51542] lived_in"", ""PERSON[456381] lived_in"", ""PERSON[517593] lived_in"", ""PERSON[517440] lived_in"", ""PERSON[5490] lived_in"", ""PERSON[209245] died_in"", ""PERSON[448389] died_in"", ""PERSON[12547] died_in"", ""PERSON[313442] died_in"", ""PERSON[23906] died_in"", ""PERSON[341972] died_in"", ""PERSON[497194] died_in"", ""PERSON[193981] died_in"", ""PERSON[272858] died_in"", ""PERSON[42295] died_in"", ""PERSON[14248] died_in"", ""PERSON[5490] died_in"", ""PERSON[21146] died_in"", ""PERSON[502123] died_in"", ""PLACE[447130] is_part_of"", ""PLACE[501761] is_part_of"", ""PLACE[529096] is_part_of"", ""REPOSITORY[206732] is_in"", ""REPOSITORY[521059] is_in"", ""REPOSITORY[89331] is_in"", ""REPOSITORY[525283] is_in"", ""REPOSITORY[40587] is_in"", ""REPOSITORY[271004] is_in"", ""REPOSITORY[124473] is_in"", ""REPOSITORY[89389] is_in"", ""REPOSITORY[89917] is_in"", ""REPOSITORY[88792] is_in"", ""REPOSITORY[528787] is_in"", ""REPOSITORY[524225] is_in"", ""REPOSITORY[376503] is_in"", ""REPOSITORY[517545] is_in"", ""REPOSITORY[440430] is_in"", ""REPOSITORY[136727] is_in"", ""REPOSITORY[89553] is_in"", ""REPOSITORY[359125] is_in"", ""REPOSITORY[59678] is_in"", ""REPOSITORY[528707] is_in"", ""REPOSITORY[90034] is_in"", ""REPOSITORY[88744] is_in"", ""PERSON[193981] was_born_in"", ""PERSON[393848] was_born_in"", ""TEXT[57863] was_created_in"", ""TEXT[458397] was_created_in"", ""TEXT[456434] was_created_in"", ""TEXT[4126] was_created_in"", ""TEXT[168304] was_created_in"", ""TEXT[40596] was_created_in"", ""TEXT[524380] was_created_in"", ""WITNESS[544689] was_copied_in"", ""WITNESS[520358] was_copied_in"", ""WITNESS[454227] was_copied_in"", ""WITNESS[388340] was_copied_in"", ""WITNESS[442174] was_copied_in"", ""WITNESS[442320] was_copied_in"", ""WITNESS[441153] was_copied_in"", ""WITNESS[388361] was_copied_in"", ""WITNESS[527646] was_copied_in"", ""WITNESS[441951] was_copied_in"", ""WITNESS[443964] was_copied_in"", ""WITNESS[43089] was_copied_in"", ""WITNESS[176612] was_copied_in"", ""WITNESS[526030] was_copied_in"", ""WITNESS[457740] was_copied_in"", ""WITNESS[523652] was_copied_in"", ""WITNESS[47074] was_copied_in"", ""WITNESS[544672] was_copied_in"", ""WITNESS[528782] was_copied_in"", ""WITNESS[528512] was_copied_in"", ""WITNESS[172133] was_copied_in"", ""WITNESS[449294] was_copied_in"", ""WITNESS[524951] was_copied_in"", ""WITNESS[544697] was_copied_in"", ""WITNESS[525905] was_copied_in"", ""WITNESS[24752] was_copied_in"", ""WITNESS[388344] was_copied_in""]"
85151	Saragossa	Saragossa (Spain)	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/85151	http://ismi.mpiwg-berlin.mpg.de/place/85151			0800	2006	"[""PERSON[414582] lived_in"", ""PERSON[32258] lived_in"", ""PERSON[32258] was_born_in"", ""PERSON[68165] lived_in"", ""PERSON[68165] died_in""]"
85178	Cordova	Cordova (Spain); Córdoba	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/85178	http://ismi.mpiwg-berlin.mpg.de/place/85178			0800	2006	"[""PERSON[62337] lived_in"", ""PERSON[183429] lived_in"", ""PERSON[27729] lived_in"", ""PERSON[55063] lived_in"", ""PERSON[57269] lived_in"", ""PERSON[67370] lived_in"", ""PERSON[99638] lived_in"", ""PERSON[58222] lived_in"", ""PERSON[52490] lived_in"", ""PERSON[75736] lived_in"", ""PERSON[69507] lived_in"", ""PERSON[52300] lived_in"", ""PERSON[51433] lived_in"", ""PERSON[96221] lived_in"", ""PERSON[27887] lived_in"", ""PERSON[39301] lived_in"", ""PERSON[67883] lived_in"", ""PERSON[59983] lived_in"", ""PERSON[68113] lived_in"", ""PERSON[58114] lived_in"", ""PERSON[75321] lived_in"", ""PERSON[61488] lived_in"", ""PERSON[59144] lived_in"", ""PERSON[97064] lived_in"", ""PERSON[184760] lived_in"", ""PERSON[26846] lived_in"", ""PERSON[65898] lived_in"", ""PERSON[97087] lived_in"", ""PERSON[95348] lived_in"", ""PERSON[73568] lived_in"", ""PERSON[55335] lived_in"", ""PERSON[72597] lived_in"", ""PERSON[95199] lived_in"", ""PERSON[27852] lived_in"", ""PERSON[51615] lived_in"", ""PERSON[27255] lived_in"", ""PERSON[185994] lived_in"", ""PERSON[98555] lived_in"", ""PERSON[69633] lived_in"", ""PERSON[50599] lived_in"", ""PERSON[25290] lived_in"", ""PERSON[75743] lived_in"", ""PERSON[77911] lived_in"", ""PERSON[394724] lived_in"", ""PERSON[68165] lived_in"", ""PERSON[61374] lived_in"", ""PERSON[55488] lived_in"", ""PERSON[73314] lived_in"", ""PERSON[73441] lived_in"", ""PERSON[186186] lived_in"", ""PERSON[61220] lived_in"", ""PERSON[63874] lived_in"", ""PERSON[43626] lived_in"", ""PERSON[51839] lived_in"", ""PERSON[29661] lived_in"", ""PERSON[58156] lived_in"", ""PERSON[195591] lived_in"", ""PERSON[70050] lived_in"", ""PERSON[65898] died_in"", ""PERSON[50599] died_in"", ""PERSON[25290] died_in"", ""PERSON[55063] was_born_in"", ""PERSON[99638] was_born_in"", ""PERSON[75736] was_born_in"", ""PERSON[96221] was_born_in"", ""PERSON[29142] was_born_in"", ""PERSON[27887] was_born_in"", ""PERSON[68113] was_born_in"", ""PERSON[184760] was_born_in"", ""PERSON[65898] was_born_in"", ""PERSON[51615] was_born_in"", ""PERSON[27255] was_born_in"", ""PERSON[68165] was_born_in"", ""PERSON[51839] was_born_in"", ""TEXT[109225] was_created_in""]"
85210	Constantinople		city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/85210	http://ismi.mpiwg-berlin.mpg.de/place/85210			0800	2006	"[""PERSON[86761] lived_in"", ""PERSON[182016] lived_in"", ""WITNESS[301912] was_copied_in"", ""WITNESS[301881] was_copied_in"", ""PERSON[24600] lived_in"", ""PERSON[44752] lived_in"", ""PERSON[44752] died_in"", ""WITNESS[297512] was_copied_in"", ""WITNESS[85825] was_copied_in"", ""PERSON[19264] was_born_in"", ""PERSON[1645] lived_in"", ""WITNESS[64505] was_copied_in""]"
85213	Afshana	Afshana, near Bukhārā (Uzbekistan); Afshona	city	300008389	http://ismi.mpiwg-berlin.mpg.de/place/85213	http://ismi.mpiwg-berlin.mpg.de/place/85213			0800	2006	"[""PERSON[74607] lived_in"", ""PERSON[74607] was_born_in""]"
