id	title	description	variants	types	matches	start	title_source	title_uri
https://usaybia.net/place/51	Azerbaijan	a country in the Caucasus region of Eurasia	Ādharbayjān	region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/52	al-Azhar Mosque		al-Jāmiʿ al-Azhar	mosque		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/53	al-ʿAzīziyyah	a region consisting of five villages in Egypt named after the Fatimid caliph al-ʿAzīz		region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/54	al-ʿAzīziyyah Law College	in Damascus	al-Madrasah al-ʿAzīziyyah	madrasa		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/55	Baalbek	an ancient settlement and small town in modern-day eastern Lebanon	Baʿlabakk;Heliopolis	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/56	Bāb al-Azaj	a quarter in eastern Baghdad with many markets and large businesses	the ‘Portico Gate’	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/57	Bāb Baradān	one of the gates of Baghdad, located on the Baradān road		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/58	Bāb al-Barīd	district in Damascus		quarter		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/59	Bāb al-Farādīs	one of the seven gates of Old Damascus	Bāb al-Imārah	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/60	Bāb al-Faraj	the name of gates in both Damascus and Aleppo	Gate of Deliverance	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/61	Bāb al-Fatḥ	in Seville	Victory Gate	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/62	Bāb al-Gharabah	in Baghdad	‘Willow Tree Gate’	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/63	Bāb al-Jawz	in Cordova	Walnut Tree Gate	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/64	Bāb Khirbat al-Harrās	gate in Baghdad		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/65	Bāb Khurāsān	a gate of al-Manṣūr’s Round City (`Madīnat al-Salām`, the official name of Baghdad), located to the northeast, on the Khorasan road		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/66	Bāb al-Naqb	a place midway between the Bāb Khurāsān and the Bāb Baradān in Baghdad		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/67	Bāb al-Naṣr	one of the city gates of Damascus	Victory Gate	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/68	Bāb al-Raḥmah	one of the doors of the Golden Gate in Jerusalem	the Door/Gate of Mercy	building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/69	Bāb al-Ṣaghīrah	one of the city gates of Damascus		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/70	Bāb Shāʿ	in al-Ruhā		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/71	Bāb Tūmā	one of the city gates of Damascus		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/72	Bāb Zuwaylah	a gate in the southern wall of the Fatimid fortifications of Cairo		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/73	Babel	ancient Babylon in Mesopotamia	Bābil	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/74	Badajoz		Baṭalyaws	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/75	Badhdh	a district and fortress of northern Azerbaijan		composite		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/76	Badr	a place southwest of Medina, site of a battle between the nascent Muslim community and the Meccans		designated-space		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/77	Baghdad		Baghdād;Baghdādh;Madīnat al-Salām;‘the City of Peace’	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/78	Bahnasāʾ	a locality on the road between Malatya and Aleppo		unknown		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/79	Bahrain		al-Baḥrayn	region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/80	Balad	a city on the Tigris		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/81	Balkh	city in Khorasan, in the north of present-day Afghanistan	Bactria	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/82	Baluchistan			region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/83	Bamyan	a town in modern-day Afghanistan situated on the ancient silk route	Bāmyān	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/84	Bānyās canal	near Damascus	Nahr Bānyās	canal		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/85	Baʿqūbā	a place north-east of Bagdad, famous for its dates and fruit		unknown		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/86	Baradā	the river on which Damascus stands		river		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/87	Baradān Bridge	one of the bridges over the Tigris in Baghdad		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/88	Barqah	the eastern coastal region of modern Libya		region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/89	Basra	a city on the Shaṭṭ al-ʿArab waterway, southeast of Baghdad (medieval Basra is located in Zubayr, 20 km southwest of modern Basra)	al-Baṣrah	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/90	al-Baṣṣah	small town in Northern Palestine		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/91	Bāward	town in Khorasan	Abīward	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/92	Bawwān	a valley in southern Persia		valley		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/93	Bayn al-Qaṣrayn	a square between the eastern and western palaces built by the Fatimids in the centre of Cairo	‘between the two palaces’	designated-space		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/94	Beja	city in the Alentejo region (Portugal)	Bājat al-Gharb	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/96	Beth Garmai	region around Kirkuk	Bājarmā	region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/97	Bethlehem		Bayt Laḥm	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/98	Bīʿat Mār Tūmā	in Baghdad	The Church of Saint Thomas	church		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/99	Bilād al-ʿAjam	Lands of the Persians, Greater Persia		region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/100	Bilbays	a town in lower Egypt, northeast of Cairo on the edge of the desert		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/101	Biʾr Maymūn	a well in or near Mecca, exact location uncertain		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/102	Biʾr Zuwaylah	a well or pit near a quarter in Cairo called Ḥārat Zuwaylah, where the caliphal horses were kept		building		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/103	al-Birbāʾ	locality in Upper Egypt, near Panopolis		unknown		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/104	Birkat al-Fīl	the largest of several ponds and marshy areas in Cairo left by the River Nile as it shifted towards the West	‘the Elephant Pond’	open-water		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/105	Birkat al-Ḥabash	pool or lake on the southern fringes of Fustat	‘the Pond of the Abyssinians’	open-water		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/106	Bīrūn	formerly known as Kath and capital of Khwārazm (modern-day Uzbekistan); in 1957 renamed ‘Beruniy’ in honour of al-Bīrūnī		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/107	Bistam	Bisṭām, town in Persia	Bisṭām	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/108	Bithynia	ancient region in northwestern Asia Minor		region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/109	Bokhara		Bukhara;Bukhārā	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/110	Bosra	a town in southern Syria near the Jordan border, an important stopover on the ancient caravan route to Mecca	Buṣrā;Bostra	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/111	Bougie	town in modern Algeria	Bijāyah	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/112	Bruttium	ancient region in southern Italy, the modern Calabria		region		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/113	Budandūn	a river and town in Anatolia	al-Badandūn;Badhandūn;Bozantı	composite		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/114	al-Buḥayrah	the western province of the Nile delta during the Fatimid period		province		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/115	Burj	a village near Isfahan		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/116	Būrnūs	unidentified; possibly Praesus, an ancient coastal town in eastern Crete, or Portus, the port of Rome		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/117	Būshanj	a town in eastern Persia		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/118	Byblos	locality in present-day Lebanon		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/119	Byzantine Empire		`balad al-Rūm`;‘land of the Romans’	state		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/120	Caesarea	a coastal town of Palestine	Qaysāriyyah;Qaysariyyah	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/121	Cairo		al-Qāhirah;Miṣr	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/122	Campanar	town located north-west of Valencia (Spain)		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/123	Campanario	city in the province of Badajoz (Spain)		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/124	Canjáyar	city in the region of Almería (Spain)	Qanjayrah	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/125	Carmona	a city in al-Andalus	Qarmūniyah	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/126	Carthage	Roman city of North Africa		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/127	Carystus	ancient Greek city-state on Euboea		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/128	Castle of Barqā	unidentified place in Armenia	Qalʿat Barqā	fortification		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/129	Caulonia	ancient town in southern Italy		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/130	Centuripae	Sicilian town near Mt. Etna		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/131	Ceuta	a city in North-Africa	Sabtah	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/132	Chaeronea	ancient Greek city of Boeotia		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/133	Chalcedon	Greek city on the Bosporus		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/134	Chalcis	ancient Greek city		settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/135	China			state		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/136	Chios	Aegean island		island		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/137	Church of Saint Theodore	Coptic church lying just to the south of Old Cairo	Kanīsat Mār Thawādrus	church		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
https://usaybia.net/place/138	Circesium	town in north-eastern Syria	Qarqīsiyā	settlement		1200	LHOM	https://dh.brill.com/scholarlyeditions/library/urn:cts:arabicLit:0668IbnAbiUsaibia/
