uri	gender	birthDate	deathDate	activeDate	birthPlace	deathPlace	nameLat	firstNameLat	lastNameLat	normLa	nameAra	firstNameAra	lastNameAra	alternateNameAra	alternateFirstNameAra	alternateLastNameAra	alternateNameLat	alternateFirstNameLat	alternateLastNameLat
DiJeSt204139	female					[]	Shamir, Ilana	Ilana	Shamir	Ilana Shamir	شمير، ايلانة	ايلانة	شمير	set()	set()	set()	{'Shamir, Ilanah'}	'Ilanah'	'Shamir'
DiJeSt204188						[]					الاسدي، سعود	سعود	الاسدي	set()	set()	set()	set()	set()	set()
DiJeSt204549	male	1710-02-10	1774-03-10			[]	Louis				لوئى			set()	set()	set()	{'Ludvík', 'Ludwik'}	''	''
DiJeSt204588						[]	Metsger, Yolan	Yolan	Metsger	Yolan Metsger	ميتسغير، يولان	يولان	ميتسغير	set()	set()	set()	set()	set()	set()
DiJeSt204686						[]	Bat-Ilan, Eppie	Eppie	Bat-Ilan	Eppie Bat-Ilan	بت-ايلان، افي	افي	بت-ايلان	set()	set()	set()	set()	set()	set()
DiJeSt204874	male	1945				[]	Qāsim, Nabīh	Nabīh	Qāsim	Nabīh Qāsim	القاسم، نبيه	نبيه	القاسم	{'حسين، نبيه القاسم', 'حسين، نبيه فريد قاسم'}	{'نبيه فريد قاسم', 'نبيه القاسم'}	{'حسين، نبيه القاسم', 'حسين، نبيه فريد قاسم'}	{'Kassem, Nabih', 'Kaşem, Nabih', 'al-Qasim, Nabih', 'al-Kasim, Nabih'}	'Nabih'	'al-Qasim', 'Kaşem', 'al-Kasim', 'Kassem'
DiJeSt205191	male	1977				[]	Ṭasah, Dudu	Dudu	Ṭasah	Dudu Ṭasah	تاسا، دودو	دودو	تاسا	set()	set()	set()	set()	set()	set()
DiJeSt205462	male	1938				[]	Shapira, Shlomo	Shlomo	Shapira	Shlomo Shapira	شپيرا، شلومو	شلومو	شپيرا	set()	set()	set()	set()	set()	set()
DiJeSt205763	male	1935	2006			[]					صيمح، يعقوب	يعقوب	صيمح	set()	set()	set()	set()	set()	set()
DiJeSt205837	male	1933				[]	Shamir, Shimon	Shimon	Shamir	Shimon Shamir	شمير، شمعون	شمعون	شمير	set()	set()	set()	set()	set()	set()
DiJeSt206124	female	1964				[]	Ganihar, ʻAlmah	ʻAlmah	Ganihar	ʻAlmah Ganihar	جنيهر، علمه	علمه	جنيهر	set()	set()	set()	set()	set()	set()
