uri	related-uri	ccodes	matches	lon	lat
http://data.geo-kima.org/Place/10327	https://ismi.mpiwg-berlin.mpg.de/place/374934	AF	https://www.wikidata.org/wiki/Q45313;https://www.geonames.org/1140026	62.179180555556	34.37385
http://data.geo-kima.org/Place/7547	https://ismi.mpiwg-berlin.mpg.de/place/178964		https://www.wikidata.org/wiki/Q28	19	47
http://data.geo-kima.org/Place/8471	https://ismi.mpiwg-berlin.mpg.de/place/173690		https://www.wikidata.org/wiki/Q252	118	-2
http://data.geo-kima.org/Place/7639	https://ismi.mpiwg-berlin.mpg.de/place/174469		https://www.wikidata.org/wiki/Q794	53	32
http://data.geo-kima.org/Place/7866	https://ismi.mpiwg-berlin.mpg.de/place/173298		https://www.wikidata.org/wiki/Q796	43	33
http://data.geo-kima.org/Place/7885	https://ismi.mpiwg-berlin.mpg.de/place/179659				
http://data.geo-kima.org/Place/707	https://ismi.mpiwg-berlin.mpg.de/place/49174	TR	https://www.wikidata.org/wiki/Q35997;https://www.geonames.org/311046	27.15	38.433333333333
http://data.geo-kima.org/Place/26262	https://ismi.mpiwg-berlin.mpg.de/place/86701	YE	https://www.geonames.org/273344	35.7775	34.24639
http://data.geo-kima.org/Place/26075	https://ismi.mpiwg-berlin.mpg.de/place/85370				
http://data.geo-kima.org/Place/13939	https://ismi.mpiwg-berlin.mpg.de/place/87440	NG	https://www.wikidata.org/wiki/Q208318;https://www.geonames.org/2335727	7.4402777777778	10.523055555556
http://data.geo-kima.org/Place/9683	https://ismi.mpiwg-berlin.mpg.de/place/155387	CN	https://www.wikidata.org/wiki/Q170521;https://www.geonames.org/551990	75.983333	39.45
http://data.geo-kima.org/Place/19864	https://ismi.mpiwg-berlin.mpg.de/place/87594	TR	https://www.wikidata.org/wiki/Q1958465;https://www.geonames.org/743882	33.771111	41.372222
http://data.geo-kima.org/Place/10740	https://ismi.mpiwg-berlin.mpg.de/place/86288	RU	https://www.wikidata.org/wiki/Q900;https://www.geonames.org/551487	49.114444444444	55.790833333333
http://data.geo-kima.org/Place/8959	https://ismi.mpiwg-berlin.mpg.de/place/25264	IR	https://www.geonames.org/127082	49	31.5
http://data.geo-kima.org/Place/20594	https://ismi.mpiwg-berlin.mpg.de/place/443803	TR			
http://data.geo-kima.org/Place/9987	https://ismi.mpiwg-berlin.mpg.de/place/87301	TR	https://www.wikidata.org/wiki/Q79857;https://www.geonames.org/306571	32.484722222222	37.871388888889
http://data.geo-kima.org/Place/8576	https://ismi.mpiwg-berlin.mpg.de/place/525086	TR	https://www.wikidata.org/wiki/Q126874	29.59	39.304722222222
http://data.geo-kima.org/Place/7827	https://ismi.mpiwg-berlin.mpg.de/place/87930	PK	https://www.wikidata.org/wiki/Q11739;https://www.geonames.org/1172451	74.343611111111	31.549722222222
http://data.geo-kima.org/Place/134	https://ismi.mpiwg-berlin.mpg.de/place/86776	NL	https://www.wikidata.org/wiki/Q43631;https://www.geonames.org/2751773	4.494722222	52.154444444
http://data.geo-kima.org/Place/8274	https://ismi.mpiwg-berlin.mpg.de/place/87228	DE			
http://data.geo-kima.org/Place/7947	https://ismi.mpiwg-berlin.mpg.de/place/178992		https://www.wikidata.org/wiki/Q1016	17	27
http://data.geo-kima.org/Place/10788	https://ismi.mpiwg-berlin.mpg.de/place/86969	IN	https://www.wikidata.org/wiki/Q47916;https://www.geonames.org/1264733	80.947	26.847
http://data.geo-kima.org/Place/646	https://ismi.mpiwg-berlin.mpg.de/place/86912	ES	https://www.wikidata.org/wiki/Q2807;https://www.geonames.org/3117735	-3.70256	40.4165
http://data.geo-kima.org/Place/14481	https://ismi.mpiwg-berlin.mpg.de/place/85376	TR	https://www.wikidata.org/wiki/Q165995;https://www.geonames.org/304922	38.333694	38.355365
http://data.geo-kima.org/Place/8014	https://ismi.mpiwg-berlin.mpg.de/place/87295	TR	https://www.wikidata.org/wiki/Q147089;https://www.geonames.org/304825	27.416666666667	38.633333333333
http://data.geo-kima.org/Place/20438	https://ismi.mpiwg-berlin.mpg.de/place/85354				
http://data.geo-kima.org/Place/18912	https://ismi.mpiwg-berlin.mpg.de/place/312831	TR	https://www.wikidata.org/wiki/Q188022;https://www.geonames.org/304797	40.737777777778	37.316666666667
http://data.geo-kima.org/Place/4931	https://ismi.mpiwg-berlin.mpg.de/place/153834	TM			
http://data.geo-kima.org/Place/7429	https://ismi.mpiwg-berlin.mpg.de/place/87957	IR	https://www.wikidata.org/wiki/Q121157;https://www.geonames.org/124665	59.604166666667	36.306944444444
http://data.geo-kima.org/Place/647	https://ismi.mpiwg-berlin.mpg.de/place/127632	SA	https://www.wikidata.org/wiki/Q5806;https://www.geonames.org/104515	39.82563	21.42664
http://data.geo-kima.org/Place/10956	https://ismi.mpiwg-berlin.mpg.de/place/87879	SA	https://www.wikidata.org/wiki/Q35484;https://www.geonames.org/109223	39.6	24.466666666667
http://data.geo-kima.org/Place/4931	https://ismi.mpiwg-berlin.mpg.de/place/485679	TM			
http://data.geo-kima.org/Place/11433	https://ismi.mpiwg-berlin.mpg.de/place/69524	YE	https://www.wikidata.org/wiki/Q1650840;https://www.geonames.org/6311278	43.427777777778	13.519722222222
http://data.geo-kima.org/Place/18500	https://ismi.mpiwg-berlin.mpg.de/place/530136	YE	https://www.wikidata.org/wiki/Q310772;https://www.geonames.org/78754	49.133333333333	14.533333333333
http://data.geo-kima.org/Place/26273	https://ismi.mpiwg-berlin.mpg.de/place/87556	IN	https://www.wikidata.org/wiki/Q1156;https://www.geonames.org/1275339	72.833333333333	18.966666666667
http://data.geo-kima.org/Place/234	https://ismi.mpiwg-berlin.mpg.de/place/87231	DE	https://www.wikidata.org/wiki/Q1726;https://www.geonames.org/2867714	11.566666666	48.133333333
http://data.geo-kima.org/Place/7581	https://ismi.mpiwg-berlin.mpg.de/place/540703	IN	https://www.wikidata.org/wiki/Q987;https://www.geonames.org/1261481	77.2	28.7
http://data.geo-kima.org/Place/16921	https://ismi.mpiwg-berlin.mpg.de/place/86603	TR	https://www.wikidata.org/wiki/Q155219	34.693611111111	37.915833333333
http://data.geo-kima.org/Place/7601	https://ismi.mpiwg-berlin.mpg.de/place/178897		https://www.wikidata.org/wiki/Q1033	8	9
http://data.geo-kima.org/Place/22186	https://ismi.mpiwg-berlin.mpg.de/place/134677	TR	https://www.wikidata.org/wiki/Q1553052;https://www.geonames.org/303750	41.216666666667	37.083333333333
http://data.geo-kima.org/Place/1584	https://ismi.mpiwg-berlin.mpg.de/place/93622		https://www.wikidata.org/wiki/Q27381	9.6817138888889	30.440741666667
http://data.geo-kima.org/Place/9526	https://ismi.mpiwg-berlin.mpg.de/place/179735		https://www.wikidata.org/wiki/Q843	71	30
http://data.geo-kima.org/Place/7745	https://ismi.mpiwg-berlin.mpg.de/place/276374	IT	https://www.wikidata.org/wiki/Q2656	13.361262	38.115658
http://data.geo-kima.org/Place/16931	https://ismi.mpiwg-berlin.mpg.de/place/86667	US	https://www.geonames.org/2988507	2.3488	48.85341
http://data.geo-kima.org/Place/8875	https://ismi.mpiwg-berlin.mpg.de/place/86909	IN	https://www.wikidata.org/wiki/Q80484;https://www.geonames.org/1260086	85.141388888889	25.61
http://data.geo-kima.org/Place/6819	https://ismi.mpiwg-berlin.mpg.de/place/88340	PK	https://www.wikidata.org/wiki/Q1113311;https://www.geonames.org/1168197	71.5	34
http://data.geo-kima.org/Place/7864	https://ismi.mpiwg-berlin.mpg.de/place/493134		https://www.wikidata.org/wiki/Q846	51.212767	25.269535
http://data.geo-kima.org/Place/1723	https://ismi.mpiwg-berlin.mpg.de/place/463432	IR	https://www.wikidata.org/wiki/ Q181578;https://www.geonames.org/119505	50.0041	36.26877
http://data.geo-kima.org/Place/12190	https://ismi.mpiwg-berlin.mpg.de/place/457991	IR	https://www.wikidata.org/wiki/Q170573	50.878888888889	34.646111111111
http://data.geo-kima.org/Place/11981	https://ismi.mpiwg-berlin.mpg.de/place/86749	MT	https://www.wikidata.org/wiki/Q44381;https://www.geonames.org/2538475	14.398888888889	35.881666666667
http://data.geo-kima.org/Place/20273	https://ismi.mpiwg-berlin.mpg.de/place/363352	SY	https://www.wikidata.org/wiki/Q283368;https://www.geonames.org/172955	39.016666666667	35.95
http://data.geo-kima.org/Place/12079	https://ismi.mpiwg-berlin.mpg.de/place/88250	IR	https://www.wikidata.org/wiki/Q178373;https://www.geonames.org/118743	49.6	37.283333333333
http://data.geo-kima.org/Place/19286	https://ismi.mpiwg-berlin.mpg.de/place/87984	IR	https://www.wikidata.org/wiki/Q636188	51.448888888889	35.593055555556
http://data.geo-kima.org/Place/635	https://ismi.mpiwg-berlin.mpg.de/place/362860	UZ	https://www.wikidata.org/wiki/Q5753;https://www.geonames.org/1216265	66.95972	39.65417
http://data.geo-kima.org/Place/15588	https://ismi.mpiwg-berlin.mpg.de/place/502402	TR	https://www.wikidata.org/wiki/Q160450;https://www.geonames.org/740264	36.33	41.286666666667
http://data.geo-kima.org/Place/15530	https://ismi.mpiwg-berlin.mpg.de/place/163900	ES	https://www.wikidata.org/wiki/Q371748	-4.1427777777778	40.593611111111
http://data.geo-kima.org/Place/9620	https://ismi.mpiwg-berlin.mpg.de/place/179081		https://www.wikidata.org/wiki/Q851	44.116667	23.716667
http://data.geo-kima.org/Place/8061	https://ismi.mpiwg-berlin.mpg.de/place/85653	IR	https://www.wikidata.org/wiki/Q6397066;https://www.geonames.org/115019	52.5425	29.61
http://data.geo-kima.org/Place/6284	https://ismi.mpiwg-berlin.mpg.de/place/141246	IT	https://www.geonames.org/2523118	13.93457	37.62304
